Barbra,Adkin,4 Kohler Memorial Dr,Brooklyn,NY,11230,718-201-3751,badkin@hotmail.com,M,YhCrkSYZ,N,0,0,.
Barrett,Toyama,4252 N Washington Ave #9,Kennedale,TX,76060,817-765-5781,barrett.toyama@toyama.org,F,YefY8Bm3,S,0,0,.
Beatriz,Corrington,481 W Lemon St,Middleboro,MA,23460,508-584-4279,beatriz@yahoo.com,M,9NMJTQEX,S,0,0,.
Beckie,Silvestrini,7116 Western Ave,Dearborn,MI,48126,313-533-4884,beckie.silvestrini@silvestrini.com,M,wh4HAyhM,N,0,0,.
Becky,Mirafuentes,30553 Washington Rd,Plainfield,NJ,70602,908-877-8409,becky.mirafuentes@mirafuentes.com,M,kQEdKBnP,V,0,0,.
Belen,Strassner,5384 Southwyck Blvd,Douglasville,GA,30135,770-507-8791,belen_strassner@aol.com,M,KP2D4hpe,V,0,0,.
Benedict,Sama,4923 Carey Ave,Saint Louis,MO,63104,314-787-1588,bsama@cox.net,M,wX3X9fzQ,S,0,0,.
Benton,Skursky,47939 Porter Ave,Gardena,CA,90248,310-579-2907,benton.skursky@aol.com,M,fKt8yHn2,V,0,0,.
Bernardine,Rodefer,2 W Grand Ave,Memphis,TN,38112,901-901-4726,bernardine_rodefer@yahoo.com,M,WAmGqS7j,N,0,0,.
Bernardo,Figeroa,386 9th Ave N,Conroe,TX,77301,936-336-3951,bfigeroa@aol.com,F,aPJuRdNz,N,0,0,.
Bette,Nicka,6 S 33rd St,Aston,PA,19014,610-545-3615,bette_nicka@cox.net,M,cQUmD92Q,S,0,0,.
Billye,Miro,36 Lancaster Dr Se,Pearl,MS,39208,601-567-5386,billye_miro@cox.net,M,PHPyVFdc,V,0,0,.
Blair,Malet,209 Decker Dr,Philadelphia,PA,19132,215-907-9111,bmalet@yahoo.com,M,ktwWkcfd,V,0,0,.
Blondell,Pugh,201 Hawk Ct,Providence,RI,29004,401-960-8259,bpugh@aol.com,M,NPAHrxpW,N,0,0,.
Bobbye,Rhym,30 W 80th St #1995,San Carlos,CA,94070,650-528-5783,brhym@rhym.com,F,tNfS99Mg,N,0,0,.
Bok,Isaacs,6 Gilson St,Bronx,NY,10468,718-809-3762,bok.isaacs@aol.com,M,wRJMbfHu,N,0,0,.
Brandon,Callaro,7 Benton Dr,Honolulu,HI,96819,808-215-6832,brandon_callaro@hotmail.com,F,pEXbMM4Z,S,0,0,.
Brett,Mccullan,87895 Concord Rd,La Mesa,CA,91942,619-461-9984,brett.mccullan@mccullan.com,F,cPwHaxA8,V,0,0,.
Britt,Galam,2500 Pringle Rd Se #508,Hatfield,PA,19440,215-888-3304,britt@galam.org,M,qtcWpAmC,N,0,0,.
Brittni,Gillaspie,67 Rv Cent,Boise,ID,83709,208-709-1235,bgillaspie@gillaspie.com,M,genBUYjA,V,0,0,.
Brock,Bolognia,4486 W O St #1,New York,NY,10003,212-402-9216,bbolognia@yahoo.com,F,AJ4qHeLF,N,0,0,.
Buddy,Cloney,944 Gaither Dr,Strongsville,OH,44136,440-989-5826,buddy.cloney@yahoo.com,F,kPpQSd92,N,0,0,.
Bulah,Padilla,8927 Vandever Ave,Waco,TX,76707,254-463-4368,bulah_padilla@hotmail.com,F,LPhw578q,N,0,0,.
Caitlin,Julia,5 Williams St,Johnston,RI,20919,401-948-4982,caitlin.julia@julia.org,F,M2rEap56,V,0,0,.
Cammy,Albares,56 E Morehead St,Laredo,TX,78045,956-537-6195,calbares@gmail.com,M,MKAdrmsW,S,0,0,.
Candida,Corbley,406 Main St,Somerville,NJ,80876,908-275-8357,candida_corbley@hotmail.com,M,y7WBZadS,S,0,0,.
Caprice,Suell,90177 N 55th Ave,Nashville,TN,37211,615-246-1824,caprice@aol.com,M,MUrU78E3,N,0,0,.
Carey,Dopico,87393 E Highland Rd,Indianapolis,IN,46220,317-578-2453,carey_dopico@dopico.org,F,u43YsMYT,N,0,0,.
Carin,Deleo,1844 Southern Blvd,Little Rock,AR,72202,501-308-1040,cdeleo@deleo.com,M,XUw3ZAEt,S,0,0,.
Carissa,Batman,12270 Caton Center Dr,Eugene,OR,97401,541-326-4074,carissa.batman@yahoo.com,F,Rcng7RJv,S,0,0,.
Carlee,Boulter,8284 Hart St,Abilene,KS,67410,785-347-1805,carlee.boulter@hotmail.com,M,MNsaUuH7,V,0,0,.
Carma,Vanheusen,68556 Central Hwy,San Leandro,CA,94577,510-503-7169,carma@cox.net,M,VqcSKCsh,S,0,0,.
Carmela,Cookey,9 Murfreesboro Rd,Chicago,IL,60623,773-494-4195,ccookey@cookey.org,F,MpgxErcq,S,0,0,.
Carmelina,Lindall,2664 Lewis Rd,Littleton,CO,80126,303-724-7371,carmelina_lindall@lindall.com,F,rNUuu7LC,V,0,0,.
Carmen,Sweigard,61304 N French Rd,Somerset,NJ,88731,732-941-2621,csweigard@sweigard.com,M,4fNKC6sq,N,0,0,.
Casie,Good,5221 Bear Valley Rd,Nashville,TN,37211,615-390-2251,casie.good@aol.com,F,XmgjJLcw,S,0,0,.
Cassi,Wildfong,26849 Jefferson Hwy,Rolling Meadows,IL,60008,847-633-3216,cassi.wildfong@aol.com,F,YLNB7mh3,V,0,0,.
Catalina,Tillotson,3338 A Lockport Pl #6,Margate City,NJ,84002,609-373-3332,catalina@hotmail.com,M,wnDmA9ZV,S,0,0,.
Catarina,Gleich,78 Maryland Dr #146,Denville,NJ,78344,973-210-3994,catarina_gleich@hotmail.com,M,TRhBxU8D,S,0,0,.
Cathrine,Pontoriero,812 S Haven St,Amarillo,TX,79109,806-703-1435,cathrine.pontoriero@pontoriero.com,F,LMn2Q7h5,V,0,0,.
Cecil,Lapage,4 Stovall St #72,Union City,NJ,70827,201-693-3967,clapage@lapage.com,M,kMGUbJcu,S,0,0,.
Cecilia,Colaizzo,4 Nw 12th St #3849,Madison,WI,53717,608-382-4541,cecilia_colaizzo@colaizzo.com,M,vwXSBxFC,N,0,0,.
Cecily,Hollack,59 N Groesbeck Hwy,Austin,TX,78731,512-486-3817,cecily@hollack.org,M,eXXNcWYf,S,0,0,.
Celeste,Korando,7 W Pinhook Rd,Lynbrook,NY,11563,516-509-2347,ckorando@hotmail.com,M,YWY6659c,V,0,0,.
Ceola,Setter,96263 Greenwood Pl,Warren,ME,48164,207-627-7565,ceola.setter@setter.org,M,GPFgxP5A,S,0,0,.
Chanel,Caudy,86 Nw 66th St #8673,Shawnee,KS,66218,913-388-2079,chanel.caudy@caudy.org,F,PrLQr4Nf,V,0,0,.
Chantell,Maynerich,2023 Greg St,Saint Paul,MN,55101,651-591-2583,chantell@yahoo.com,F,K5qwTAVZ,N,0,0,.
Charlene,Hamilton,985 E 6th Ave,Santa Rosa,CA,95407,707-300-1771,charlene.hamilton@hotmail.com,F,PED6kePr,N,0,0,.
Chau,Kitzman,429 Tiger Ln,Beverly Hills,CA,90212,310-560-8022,chau@gmail.com,F,fe62sHcm,S,0,0,.
Chauncey,Motley,63 E Aurora Dr,Orlando,FL,32804,407-413-4842,chauncey_motley@aol.com,M,2Tx2kVHE,V,0,0,.
Chaya,Malvin,560 Civic Center Dr,Ann Arbor,MI,48103,734-928-5182,chaya@malvin.com,F,Lru8QmeF,S,0,0,.
Cherry,Lietz,40 9th Ave Sw #91,Waterford,MI,48329,248-980-6904,cherry@lietz.com,F,9Hp7AmCs,V,0,0,.
Cheryl,Haroldson,92 Main St,Atlantic City,NJ,84019,609-518-7697,cheryl@haroldson.org,M,azNFk4dJ,S,0,0,.
Christiane,Eschberger,96541 W Central Blvd,Phoenix,AZ,85034,602-390-4944,christiane.eschberger@yahoo.com,M,zZXN39aq,S,0,0,.
Ciara,Ventura,53 W Carey St,Port Jervis,NY,12771,845-823-8877,cventura@yahoo.com,F,kwHdW64W,S,0,0,.
Claribel,Varriano,6 Harry L Dr #6327,Perrysburg,OH,43551,419-544-4900,claribel_varriano@cox.net,F,dYVYbnFV,S,0,0,.
Clay,Hoa,73 Saint Ann St #86,Reno,NV,89502,775-501-8109,choa@hoa.org,F,wk2tkmzY,S,0,0,.
Clorinda,Heimann,105 Richmond Valley Rd,Escondido,CA,92025,760-291-5497,clorinda.heimann@hotmail.com,M,KFj9zL2C,N,0,0,.
Colette,Kardas,21575 S Apple Creek Rd,Omaha,NE,68124,402-896-5943,colette.kardas@yahoo.com,F,yP67a88p,S,0,0,.
Cordelia,Storment,393 Hammond Dr,Lafayette,LA,70506,337-566-6001,cordelia_storment@aol.com,F,QhALg8FL,N,0,0,.
Corinne,Loder,4 Carroll St,North Attleboro,MA,27605,508-942-4186,corinne@loder.org,M,FkuFwjJF,N,0,0,.
Cory,Gibes,83649 W Belmont Ave,San Gabriel,CA,91776,626-572-1096,cory.gibes@gmail.com,M,LKNbbgcD,S,0,0,.
Cristal,Samara,4119 Metropolitan Dr,Los Angeles,CA,90021,213-975-8026,cristal@cox.net,F,7YabC4sA,V,0,0,.
Cristy,Lother,3989 Portage Tr,Escondido,CA,92025,760-971-4322,cristy@lother.com,M,QFCNFACQ,V,0,0,.
Cyndy,Goldammer,170 Wyoming Ave,Burnsville,MN,55337,952-334-9408,cgoldammer@cox.net,M,QgGpGfQg,N,0,0,.
Cyril,Daufeldt,3 Lawton St,New York,NY,10013,212-745-8484,cyril_daufeldt@daufeldt.com,F,pwrN4Ahw,V,0,0,.
Dalene,Riden,66552 Malone Rd,Plaistow,NH,38657,603-315-6839,dalene.riden@aol.com,F,HxM3Mm4n,S,0,0,.
Dalene,Schoeneck,910 Rahway Ave,Philadelphia,PA,19102,215-268-1275,dalene@schoeneck.org,F,faGregux,N,0,0,.
Danica,Bruschke,840 15th Ave,Waco,TX,76708,254-782-8569,danica_bruschke@gmail.com,M,sSQdxyN2,N,0,0,.
Daniel,Perruzza,11360 S Halsted St,Santa Ana,CA,92705,714-771-3880,dperruzza@perruzza.com,F,GP9kfLrJ,V,0,0,.
Daniela,Comnick,7 Flowers Rd #403,Trenton,NJ,86116,609-200-8577,dcomnick@cox.net,F,KK9TnrzQ,V,0,0,.
Daren,Weirather,9 N College Ave #3,Milwaukee,WI,53216,414-959-2540,dweirather@aol.com,M,8SXwLgf8,N,0,0,.
Daron,Dinos,18 Waterloo Geneva Rd,Highland Park,IL,60035,847-233-3075,daron_dinos@cox.net,F,NecytQPn,S,0,0,.
Dean,Ketelsen,2 Flynn Rd,Hicksville,NY,11801,516-847-4418,dean_ketelsen@gmail.com,F,BZPTX7vv,N,0,0,.
Deandrea,Hughey,33 Lewis Rd #46,Burlington,NC,27215,336-822-7652,deandrea@yahoo.com,M,k2jLGQzc,N,0,0,.
Deeanna,Juhas,14302 Pennsylvania Ave,Huntingdon Valley,PA,19006,215-211-9589,deeanna_juhas@gmail.com,F,vzwMtsTg,V,0,0,.
Delisa,Crupi,47565 W Grand Ave,Newark,NJ,71051,973-354-2040,delisa.crupi@crupi.com,M,Lh4YtW52,V,0,0,.
Delmy,Ahle,65895 S 16th St,Providence,RI,29090,401-458-2547,delmy.ahle@hotmail.com,M,hrbcbLKv,V,0,0,.
Denise,Patak,2139 Santa Rosa Ave,Orlando,FL,32801,407-446-4358,denise@patak.org,M,6uCvRmDX,N,0,0,.
Deonna,Kippley,57 Haven Ave #90,Southfield,MI,48075,248-913-4677,deonna_kippley@hotmail.com,F,dd3QuZqY,S,0,0,.
Derick,Dhamer,87163 N Main Ave,New York,NY,10013,212-304-4515,ddhamer@cox.net,M,zuTW4VHS,N,0,0,.
Detra,Coyier,96950 Hidden Ln,Aberdeen,MD,21001,410-739-9277,detra@aol.com,M,zGHGrHLV,V,0,0,.
Devora,Perez,72868 Blackington Ave,Oakland,CA,94606,510-955-3016,devora_perez@perez.org,M,VmWjCjmX,V,0,0,.
Devorah,Chickering,31 Douglas Blvd #950,Clovis,NM,88101,505-975-8559,devorah@hotmail.com,M,KWwLTz4S,S,0,0,.
Diane,Devreese,1953 Telegraph Rd,Saint Joseph,MO,64504,816-557-9673,diane@cox.net,M,UjtqqbfU,N,0,0,.
Dick,Wenzinger,22 Spruce St #595,Gardena,CA,90248,310-510-9713,dick@yahoo.com,M,BwunzCvg,N,0,0,.
Dierdre,Yum,63381 Jenks Ave,Philadelphia,PA,19134,215-325-3042,dyum@yahoo.com,M,2ZBxaw7D,S,0,0,.
Dominque,Dickerson,69 Marquette Ave,Hayward,CA,94545,510-993-3758,dominque.dickerson@dickerson.org,M,CW5xz3ST,V,0,0,.
Donette,Foller,34 Center St,Hamilton,OH,45011,513-570-1893,donette.foller@cox.net,M,mr8QD9Wv,S,0,0,.
Donte,Kines,3 Aspen St,Worcester,MA,71602,508-429-8576,dkines@hotmail.com,F,rLfEJMGG,V,0,0,.
Dorothy,Chesterfield,469 Outwater Ln,San Diego,CA,92126,858-617-7834,dorothy@cox.net,F,PDA7kw9q,V,0,0,.
Dorthy,Hidvegi,9635 S Main St,Boise,ID,83704,208-649-2373,dhidvegi@yahoo.com,F,mwHVgXcx,V,0,0,.
Dottie,Hellickson,67 E Chestnut Hill Rd,Seattle,WA,98133,206-540-6076,dottie@hellickson.org,F,sn5W5a3s,S,0,0,.
Dulce,Labreche,9581 E Arapahoe Rd,Rochester,MI,48307,248-357-8718,dulce_labreche@yahoo.com,F,zanU2FZn,S,0,0,.
Dyan,Oldroyd,7219 Woodfield Rd,Overland Park,KS,66204,913-413-4604,doldroyd@aol.com,F,h9QZC9vB,V,0,0,.
Earleen,Mai,75684 S Withlapopka Dr #32,Dallas,TX,75227,214-289-1973,earleen_mai@cox.net,M,EYqVMHyz,N,0,0,.
Eden,Jayson,4 Iwaena St,Baltimore,MD,21202,410-890-7866,eden_jayson@yahoo.com,M,pWhKMhgv,N,0,0,.
Edna,Miceli,555 Main St,Erie,PA,16502,814-460-2655,emiceli@miceli.org,F,B8gV4Vjk,N,0,0,.
Eladia,Saulter,3958 S Dupont Hwy #7,Ramsey,NJ,74461,201-474-4924,eladia@saulter.com,M,HuaqKsfB,V,0,0,.
Elke,Sengbusch,9 W Central Ave,Phoenix,AZ,85013,602-896-2993,elke_sengbusch@yahoo.com,F,tQBjbmUm,N,0,0,.
Elli,Mclaird,6 Sunrise Ave,Utica,NY,13501,315-818-2638,emclaird@mclaird.com,M,NpyBPSr6,N,0,0,.
Elly,Morocco,7 W 32nd St,Erie,PA,16502,814-393-5571,elly_morocco@gmail.com,F,M94bArMz,N,0,0,.
Elouise,Gwalthney,9506 Edgemore Ave,Bladensburg,MD,20710,301-841-5012,egwalthney@yahoo.com,F,8W8XpHTq,S,0,0,.
Elvera,Benimadho,99385 Charity St #840,San Jose,CA,95110,408-703-8505,elvera.benimadho@cox.net,M,hvawXjnT,V,0,0,.
Elza,Lipke,6794 Lake Dr E,Newark,NJ,71044,973-927-3447,elza@yahoo.com,F,3XZpHuzA,N,0,0,.
Emerson,Bowley,762 S Main St,Madison,WI,53711,608-336-7444,emerson.bowley@bowley.org,F,UXSTZjTh,V,0,0,.
Erick,Ferencz,20 S Babcock St,Fairbanks,AK,99712,907-741-1044,erick.ferencz@aol.com,F,upsxv3Rr,V,0,0,.
Erick,Nievas,45 E Acacia Ct,Chicago,IL,60624,773-704-9903,erick_nievas@aol.com,M,rPBPScCH,S,0,0,.
Erinn,Canlas,13 S Hacienda Dr,Livingston,NJ,70392,973-767-3008,erinn.canlas@canlas.com,M,ryMuSkcB,S,0,0,.
Ernest,Syrop,94 Chase Rd,Hyattsville,MD,20785,301-998-9644,ernest@cox.net,F,QZQZQput,S,0,0,.
Ernie,Stenseth,45 E Liberty St,Ridgefield Park,NJ,76601,201-709-6245,ernie_stenseth@aol.com,M,KrTgdbPC,N,0,0,.
Estrella,Samu,64 Lakeview Ave,Beloit,WI,53511,608-976-7199,estrella@aol.com,M,4Py8CZyc,N,0,0,.
Ettie,Hoopengardner,39 Franklin Ave,Richland,WA,99352,509-755-5393,ettie.hoopengardner@hotmail.com,M,5xxNEWTh,S,0,0,.
Eun,Coody,84 Bloomfield Ave,Spartanburg,SC,29301,864-256-3620,eun@yahoo.com,F,XfBgjLRw,S,0,0,.
Evangelina,Radde,992 Civic Center Dr,Philadelphia,PA,19123,215-964-3284,evangelina@aol.com,M,fvSZu3Jb,N,0,0,.
Ezekiel,Chui,2 Cedar Ave #84,Easton,MD,21601,410-669-1642,ezekiel@chui.com,M,tY4pAjpX,V,0,0,.
Fabiola,Hauenstein,8573 Lincoln Blvd,York,PA,17404,717-809-3119,fabiola.hauenstein@hauenstein.org,F,9vjrfXv5,S,0,0,.
Fannie,Lungren,17 Us Highway 111,Round Rock,TX,78664,512-587-5746,fannie.lungren@yahoo.com,F,VSzJdYQa,V,0,0,.
Fatima,Saylors,2 Lighthouse Ave,Hopkins,MN,55343,952-768-2416,fsaylors@saylors.org,F,Pgw3pVh3,N,0,0,.
Fausto,Agramonte,5 Harrison Rd,New York,NY,10038,212-313-1783,fausto_agramonte@yahoo.com,F,tuxyQDYa,N,0,0,.
Felicidad,Poullion,9939 N 14th St,Riverton,NJ,80770,856-305-9731,fpoullion@poullion.com,F,QmbX4wqc,N,0,0,.
Felix,Hirpara,7563 Cornwall Rd #4462,Denver,PA,17517,717-491-5643,felix_hirpara@cox.net,M,SWNE2jsR,V,0,0,.
Fernanda,Jillson,60480 Old Us Highway 51,Preston,MD,21655,410-387-5260,fjillson@aol.com,F,VRphaGgC,V,0,0,.
Filiberto,Tawil,3882 W Congress St #799,Los Angeles,CA,90016,323-765-2528,ftawil@hotmail.com,M,H9j2xLyj,V,0,0,.
Fletcher,Flosi,394 Manchester Blvd,Rockford,IL,61109,815-828-2147,fletcher.flosi@yahoo.com,M,td3yWTtt,S,0,0,.
Flo,Bookamer,89992 E 15th St,Alliance,NE,69301,308-726-2182,flo.bookamer@cox.net,M,Ca8K5KfV,V,0,0,.
France,Buzick,64 Newman Springs Rd E,Brooklyn,NY,11219,718-478-8504,france.buzick@yahoo.com,F,tm7tLESu,N,0,0,.
Francine,Vocelka,366 South Dr,Las Cruces,NM,88011,505-977-3911,francine_vocelka@vocelka.com,M,UzJZhreP,N,0,0,.
Franklyn,Emard,4379 Highway 116,Philadelphia,PA,19103,215-558-8189,femard@emard.com,F,8r3tAC9w,N,0,0,.
Frederica,Blunk,99586 Main St,Dallas,TX,75207,214-428-2285,frederica_blunk@gmail.com,M,MyYHG9vk,V,0,0,.
Freeman,Gochal,383 Gunderman Rd #197,Coatesville,PA,19320,610-476-3501,freeman_gochal@aol.com,F,8FfppS8k,S,0,0,.
Gail,Kitty,735 Crawford Dr,Anchorage,AK,99501,907-435-9166,gail@kitty.com,F,vKuuykSh,N,0,0,.
Gail,Similton,62 Monroe St,Thousand Palms,CA,92276,760-616-5388,gail_similton@similton.com,F,2Q4Q83JF,V,0,0,.
Galen,Cantres,617 Nw 36th Ave,Brook Park,OH,44142,216-600-6111,galen@yahoo.com,M,RXqUtGTu,S,0,0,.
Garry,Keetch,5 Green Pond Rd #4,Southampton,PA,18966,215-979-8776,garry_keetch@hotmail.com,F,VcNu8aUB,S,0,0,.
Gary,Nunlee,2 W Mount Royal Ave,Fortville,IN,46040,317-542-6023,gary_nunlee@nunlee.org,M,uz7RSegr,N,0,0,.
Gayla,Schnitzler,38 Pleasant Hill Rd,Hayward,CA,94545,510-686-3407,gschnitzler@gmail.com,F,HBYWtQ8K,N,0,0,.
Gearldine,Gellinger,4 Bloomfield Ave,Irving,TX,75061,972-934-6914,gearldine_gellinger@gellinger.com,F,kwV5XGtV,N,0,0,.
Geoffrey,Acey,7 West Ave #1,Palatine,IL,60067,847-222-1734,geoffrey@gmail.com,M,QphfWEtm,S,0,0,.
Georgene,Montezuma,98 University Dr,San Ramon,CA,94583,925-615-5185,gmontezuma@cox.net,M,zm2JeFQ2,S,0,0,.
Gertude,Witten,7 Tarrytown Rd,Cincinnati,OH,45217,513-977-7043,gertude.witten@gmail.com,F,eA6e7EEX,N,0,0,.
Gilma,Liukko,16452 Greenwich St,Garden City,NY,11530,516-393-9967,gilma_liukko@gmail.com,M,Rum9WVuL,N,0,0,.
Gladys,Rim,322 New Horizon Blvd,Milwaukee,WI,53207,414-661-9598,gladys.rim@rim.org,M,MfxKccDQ,S,0,0,.
Glen,Bartolet,8739 Hudson St,Vashon,WA,98070,206-697-5796,glen_bartolet@hotmail.com,F,kszPpH24,S,0,0,.
Glendora,Sarbacher,2140 Diamond Blvd,Rohnert Park,CA,94928,707-653-8214,gsarbacher@gmail.com,M,rryhGbJR,V,0,0,.
Glenn,Berray,29 Cherry St #7073,Des Moines,IA,50315,515-370-7348,gberray@gmail.com,M,Yd2HeYrf,V,0,0,.
Glenna,Slayton,2759 Livingston Ave,Memphis,TN,38118,901-640-9178,glenna_slayton@cox.net,F,cQrmaksM,S,0,0,.
Glory,Kulzer,55892 Jacksonville Rd,Owings Mills,MD,21117,410-224-9462,gkulzer@kulzer.org,M,WZcTqkgL,S,0,0,.
Glory,Schieler,5 E Truman Rd,Abilene,TX,79602,325-869-2649,glory@yahoo.com,F,sTTmXLhS,N,0,0,.
Golda,Kaniecki,6201 S Nevada Ave,Toms River,NJ,84755,732-628-9909,golda_kaniecki@yahoo.com,M,3hGnT6M3,S,0,0,.
Goldie,Schirpke,34 Saint George Ave #2,Bangor,ME,44001,207-295-7569,goldie.schirpke@yahoo.com,M,ukdSC7nc,V,0,0,.
Gracia,Melnyk,97 Airport Loop Dr,Jacksonville,FL,32216,904-235-3633,gracia@melnyk.com,F,PuxRnZeS,N,0,0,.
Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,440-780-8425,gruta@cox.net,F,58ag4cn7,N,0,0,.
Gregoria,Pawlowicz,455 N Main Ave,Garden City,NY,11530,516-212-1915,gpawlowicz@yahoo.com,M,RjxF4QHv,S,0,0,.
Gwenn,Suffield,3270 Dequindre Rd,Deer Park,NY,11729,631-258-6558,gwenn_suffield@suffield.org,M,d3bbRAqL,S,0,0,.
Harrison,Haufler,759 Eldora St,New Haven,CT,65125,203-801-6193,hhaufler@hotmail.com,F,pJZ8SHLT,V,0,0,.
Haydee,Denooyer,25346 New Rd,New York,NY,10016,212-792-8658,hdenooyer@denooyer.org,F,eLaSnwbc,S,0,0,.
Heike,Berganza,3 Railway Ave #75,Little Falls,NJ,74424,973-936-5095,heike@gmail.com,M,cXrwtw4r,S,0,0,.
Helaine,Halter,8 Sheridan Rd,Jersey City,NJ,73084,201-832-4168,hhalter@yahoo.com,M,xDsjeBBZ,V,0,0,.
Helene,Rodenberger,347 Chestnut St,Peoria,AZ,85381,623-461-8551,helene@aol.com,M,sgatQB3G,S,0,0,.
